cluster,direction,timepoint,term_id,term_name,count,bg_count,gene_ratio,fold_enrichment,pvalue,p_adjust,signed_score
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko03010,Ribosome,46,51,46/578,3.47208087387204,1.792774006504123e-22,2.402317168715525e-20,-19.619369654914113
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko01110,Biosynthesis of secondary metabolites,121,286,121/578,1.6286265637476711,7.691359155674005e-11,5.153210634301583e-09,-8.287922105657437
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko01230,Biosynthesis of amino acids,58,111,58/578,2.011440506250195,1.186093491411883e-09,5.297884261639744e-08,-7.275897533596402
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00970,Aminoacyl-tRNA biosynthesis,18,25,18/578,2.7716262975778547,1.675132657530925e-06,5.6116944027285986e-05,-4.25090598746947
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko01120,Microbial metabolism in diverse environments,72,180,72/578,1.5397923875432526,1.2199225210197335e-05,0.0002724493630277405,-3.5647142031163077
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko01210,2-Oxocarboxylic acid metabolism,23,39,23/578,2.270206725224026,1.1254860486718559e-05,0.0002724493630277405,-3.5647142031163077
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00670,One carbon pool by folate,13,17,13/578,2.9437207408915125,1.7916180647988026e-05,0.00032103855190902326,-3.493442812218084
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko01200,Carbon metabolism,44,97,44/578,1.7461563157706987,1.916648071098646e-05,0.00032103855190902326,-3.493442812218084
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00030,Pentose phosphate pathway,12,16,12/578,2.8871107266435985,5.3900433284663914e-05,0.0008025175622383294,-3.0955454547489603
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00785,Lipoic acid metabolism,9,11,9/578,3.149575338156653,0.00016737431665985434,0.0022428158432420482,-2.6492063847082434
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko01250,Biosynthesis of nucleotide sugars,19,35,19/578,2.089718240237271,0.00030475851131158647,0.003712512774159326,-2.430332043334701
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00230,Purine metabolism,24,50,24/578,1.847750865051903,0.0005818992783887235,0.006497875275340746,-2.1872286290561527
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko03018,RNA degradation,10,15,10/578,2.5663206459054213,0.0010590666910723265,0.010916533584899366,-1.96191524477624
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00051,Fructose and mannose metabolism,8,11,8/578,2.799622522805914,0.0015200324098875036,0.014548881637494678,-1.8371703893125764
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00061,Fatty acid biosynthesis,10,16,10/578,2.405925605536332,0.002173573317724306,0.019417254971670465,-1.7118121665454042
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko01240,Biosynthesis of cofactors,37,94,37/578,1.5152212324228815,0.0025390605740920292,0.021264632308020746,-1.6723421223775718
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00020,Citrate cycle (TCA cycle),13,24,13/578,2.085135524798155,0.0028848638261837443,0.022739514865213042,-1.64321880497847
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00520,Amino sugar and nucleotide sugar metabolism,14,27,14/578,1.9960271690375497,0.003410978942049697,0.025392843235258856,-1.5952886684744159
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00220,Arginine biosynthesis,10,17,10/578,2.264400569916548,0.004065993028606697,0.028675950833331444,-1.5424821729097689
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00450,Selenocompound metabolism,7,10,7/578,2.6946366782006916,0.004352409299257041,0.029161142305022175,-1.535195467766578
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|up,up,day 31,kegg.pathway:ko02040,Flagellar assembly,12,22,12/433,2.802855343271048,0.0002466037737578963,0.033044905683558105,1.4808954833507828
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko01523,Antifolate resistance,5,6,5/578,3.2079008073817765,0.005500219997273938,0.0335013399833958,-1.4749378217465534
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko04066,HIF-1 signaling pathway,5,6,5/578,3.2079008073817765,0.005500219997273938,0.0335013399833958,-1.4749378217465534
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00250,"Alanine, aspartate and glutamate metabolism",14,29,14/578,1.8583701228970289,0.00774412462070382,0.043238029132262996,-1.36413411019722
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00720,Other carbon fixation pathways,14,29,14/578,1.8583701228970289,0.00774412462070382,0.043238029132262996,-1.36413411019722
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00541,Biosynthesis of various nucleotide sugars,10,19,10/578,2.0260426151884903,0.011489266754160406,0.05921391327144209,-1.2275762367387328
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00710,Carbon fixation by Calvin cycle,10,19,10/578,2.0260426151884903,0.011489266754160406,0.05921391327144209,-1.2275762367387328
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00660,C5-Branched dibasic acid metabolism,6,9,6/578,2.566320645905421,0.01203003231843093,0.05970460483962017,-1.2239921717296995
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00010,Glycolysis / Gluconeogenesis,14,31,14/578,1.738475276258511,0.015583924721093642,0.07360960801124122,-1.1330654949841354
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko01232,Nucleotide metabolism,15,34,15/578,1.6983004274374107,0.015930437554671606,0.07360960801124122,-1.1330654949841354
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko04981,Folate transport and metabolism,4,5,4/578,3.079584775086505,0.017923536954008817,0.08005846506123938,-1.0965927407588199
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko05415,Diabetic cardiomyopathy,6,10,6/578,2.3096885813148784,0.02354646684719176,0.10178150185560308,-0.9923311451036277
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00240,Pyrimidine metabolism,12,27,12/578,1.7108804306036138,0.028126599354354957,0.11778013479636139,-0.9289279529771038
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00195,Photosynthesis,5,8,5/578,2.405925605536332,0.03182481138822655,0.1292280220006775,-0.888643303053692
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",9,19,9/578,1.823438353669641,0.03575441921112627,0.14091447571443882,-0.8510443908510169
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00270,Cysteine and methionine metabolism,13,31,13/578,1.6142984708114745,0.03768302658301406,0.14427215891782527,-0.8408174692872602
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko05010,Alzheimer disease,4,6,4/578,2.5663206459054213,0.042770170867478606,0.1548973755741117,-0.8099559404288958
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko05230,Central carbon metabolism in cancer,4,6,4/578,2.5663206459054213,0.042770170867478606,0.1548973755741117,-0.8099559404288958
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00290,"Valine, leucine and isoleucine biosynthesis",7,14,7/578,1.9247404844290656,0.04595482053147477,0.1620512092425689,-0.790347723870182
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00190,Oxidative phosphorylation,12,29,12/578,1.592888676768882,0.049979477710218566,0.171724359312033,-0.7651680952617208
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00910,Nitrogen metabolism,5,9,5/578,2.1386005382545177,0.056568285225471075,0.1895037555053281,-0.7223821789461492
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00640,Propanoate metabolism,12,30,12/578,1.5397923875432524,0.06435535532631115,0.21033213692013888,-0.6770943658263658
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00261,Monobactam biosynthesis,5,10,5/578,1.9247404844290656,0.08959010360375036,0.28583509245006067,-0.5438844532153377
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00260,"Glycine, serine and threonine metabolism",11,29,11/578,1.4601479537048085,0.10565747990587859,0.32925819319506355,-0.4824634093346421
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00040,Pentose and glucuronate interconversions,3,5,3/578,2.3096885813148784,0.11385314962862256,0.3316591750051179,-0.47930798389559737
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00523,Polyketide sugar unit biosynthesis,3,5,3/578,2.3096885813148784,0.11385314962862256,0.3316591750051179,-0.47930798389559737
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko04217,Necroptosis,3,5,3/578,2.3096885813148784,0.11385314962862256,0.3316591750051179,-0.47930798389559737
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00983,Drug metabolism - other enzymes,5,11,5/578,1.7497640767536964,0.1303890695760112,0.34944270646371,-0.4566240196503668
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko01212,Fatty acid metabolism,11,30,11/578,1.4114763552479814,0.12956923624141775,0.34944270646371,-0.4566240196503668
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko01320,Sulfur cycle,4,8,4/578,1.9247404844290656,0.12739324605228772,0.34944270646371,-0.4566240196503668
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko04626,Plant-pathogen interaction,4,8,4/578,1.9247404844290656,0.12739324605228772,0.34944270646371,-0.4566240196503668
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00730,Thiamine metabolism,3,6,3/578,1.9247404844290656,0.18493612838976656,0.4765661770043984,-0.32187678377218937
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00740,Riboflavin metabolism,4,9,4/578,1.7108804306036138,0.18405321471374103,0.4765661770043984,-0.32187678377218937
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|down,down,day 31,kegg.pathway:ko00680,Methane metabolism,8,22,8/578,1.399811261402957,0.1888815116495298,0.47754948228371685,-0.3209816214218636
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic|day 31|up,up,day 31,kegg.pathway:ko01503,Cationic antimicrobial peptide (CAMP) resistance,9,20,9/433,2.312355658198614,0.008035344724215424,0.5383680965224333,0.2689206841384414
