cluster,direction,timepoint,term_id,term_name,count,bg_count,gene_ratio,fold_enrichment,pvalue,p_adjust,signed_score
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 18|up,up,day 18,cog.category:J,"Translation, ribosomal structure and biogenesis",59,205,59/334,3.4010953702351396,1.300400952980087e-18,2.340721715364157e-17,16.63065021580604
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 31|up,up,day 31,cog.category:J,"Translation, ribosomal structure and biogenesis",59,205,59/378,3.0052006710543298,6.335291146430556e-16,1.1403524063575003e-14,13.942960916658649
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 89|down,down,day 89,cog.category:N,Cell motility,48,125,48/563,2.692092362344583,9.64298918987431e-12,1.7357380541773758e-10,-9.76051581499418
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 89|up,up,day 89,cog.category:J,"Translation, ribosomal structure and biogenesis",44,205,44/290,2.9212447434819175,2.105804046721718e-11,3.7904472840990926e-10,9.421309538962163
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|days 60+89|up,up,days 60+89,cog.category:J,"Translation, ribosomal structure and biogenesis",47,205,47/327,2.767345416573432,2.7153910973676254e-11,4.887703975261726e-10,9.31089510509845
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 60|down,down,day 60,cog.category:N,Cell motility,45,125,45/528,2.691136363636364,6.061029708121702e-11,1.0909853474619064e-09,-8.962181082188168
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|days 60+89|down,down,days 60+89,cog.category:N,Cell motility,43,125,43/536,2.5331492537313434,1.4303450629943664e-09,2.5746211133898597e-08,-7.589286673601857
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 31|down,down,day 31,cog.category:T,Signal transduction mechanisms,68,290,68/493,1.8772889417360286,5.553792619357073e-08,9.996826714842732e-07,-6.000137835894117
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 31|down,down,day 31,cog.category:N,Cell motility,36,125,36/493,2.3057525354969575,5.898056542435449e-07,5.308250888191904e-06,-5.275048558908137
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 89|up,up,day 89,cog.category:F,Nucleotide transport and metabolism,19,78,19/290,3.315340406719718,2.00203228993748e-06,1.801829060943732e-05,4.744286412807695
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 89|down,down,day 89,cog.category:K,Transcription,61,250,61/563,1.710600355239787,7.233822085697336e-06,5.466101316607089e-05,-4.262322322728322
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture|day 89|down,down,day 89,cog.category:T,Signal transduction mechanisms,68,290,68/563,1.6438782385006432,9.110168861011815e-06,5.466101316607089e-05,-4.262322322728322
