locus_tag,gene_name,product,timepoint,log2fc,padj,expression_status,experiment_id
ACZ81_05060,flaA,flagellin N-terminal helical domain-containing protein,day 60,-6.256732193512743,7.240706240223244e-26,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05065,flaA,flagellin N-terminal helical domain-containing protein,day 60,-5.773126360291273,2.3242146548256877e-17,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05060,flaA,flagellin N-terminal helical domain-containing protein,days 60+89,-4.990078619049176,7.891102920295304e-16,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_04975,flgN,flagellar export chaperone FlgN,day 60,-4.884904639836477,1.0531104833385215e-92,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05060,flaA,flagellin N-terminal helical domain-containing protein,day 31,-4.687430948692768,1.583198959423032e-14,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05070,flaA,flagellin N-terminal helical domain-containing protein,day 60,-4.657708792966924,1.1245150964615847e-53,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_04975,flgN,flagellar export chaperone FlgN,days 60+89,-4.634682192413514,5.110232158625912e-96,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_04975,flgN,flagellar export chaperone FlgN,day 89,-4.422410106794692,5.606802062205257e-76,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_04980,flgM,flagellar biosynthesis anti-sigma factor FlgM,day 89,-4.410744593117942,1.320901320501392e-39,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05065,flaA,flagellin N-terminal helical domain-containing protein,day 31,-4.3770281533642885,3.2782840878319555e-10,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05060,flaA,flagellin N-terminal helical domain-containing protein,day 89,-4.326361211069923,2.070180351961173e-12,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05065,flaA,flagellin N-terminal helical domain-containing protein,days 60+89,-4.294835112060642,1.253154095470104e-09,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_04980,flgM,flagellar biosynthesis anti-sigma factor FlgM,days 60+89,-4.178903366315406,6.350059924656131e-46,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05080,fliD,flagellar filament capping protein FliD,day 60,-4.133889731295289,1.92619384951618e-39,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_04975,flgN,flagellar export chaperone FlgN,day 31,-4.083103559944127,5.338823894662632e-65,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05070,flaA,flagellin N-terminal helical domain-containing protein,days 60+89,-4.0385003370351855,5.9905632690294355e-34,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_04980,flgM,flagellar biosynthesis anti-sigma factor FlgM,day 60,-3.9786725774233713,2.1986439178593075e-32,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05080,fliD,flagellar filament capping protein FliD,days 60+89,-3.8025735359426553,1.004260421015596e-38,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_01465,cheA,chemotaxis protein CheA,day 60,-3.683802431641933,3.1987487099392445e-07,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05070,flaA,flagellin N-terminal helical domain-containing protein,day 31,-3.6335498644179554,1.5694034283621055e-32,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05070,flaA,flagellin N-terminal helical domain-containing protein,day 89,-3.6069778823694607,3.6117817072317056e-32,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05065,flaA,flagellin N-terminal helical domain-containing protein,day 89,-3.580682460862532,5.313336670690303e-07,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05080,fliD,flagellar filament capping protein FliD,day 89,-3.5335390694929365,8.512170084290091e-29,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_01460,cheY1,response regulator,day 60,-3.4974688659232025,2.159695536295416e-05,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_01455,,methyl-accepting chemotaxis protein,day 31,-3.4266701727817006,3.0516047157561137e-06,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_04980,flgM,flagellar biosynthesis anti-sigma factor FlgM,day 31,-3.3568717326505166,5.391865396006471e-23,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05085,fliS,flagellar export chaperone FliS,day 89,-3.339073963675185,1.7023564064982343e-30,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_01475,aer2,methyl-accepting chemotaxis protein,day 60,-3.3389784168272243,1.6521932801192486e-07,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05085,fliS,flagellar export chaperone FliS,days 60+89,-3.318795400762756,1.4792410206416334e-42,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
ACZ81_05085,fliS,flagellar export chaperone FliS,day 60,-3.298675152733874,1.3418073288202428e-29,significant_down,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture
