og_id,tier,proc_strains,dominant_category,breadth,n_significant_datapoints,best_rank,max_abs_log2fc,direction,is_broad,is_prominent,consensus_product
cyanorak:CK_00000141,broad,13,Unknown,9,32,1.0,6.6,mixed,True,True,uncharacterized conserved secreted protein
cyanorak:CK_00019843,core,15,Unknown,9,31,1.0,8.66,mixed,True,True,conserved hypothetical protein
cyanorak:CK_00055271,core,17,Unknown,8,27,4.0,3.49,mixed,True,False,conserved hypothetical protein
cyanorak:CK_00045004,core,14,Unknown,7,38,1.0,9.3,mixed,True,True,conserved hypothetical protein family PM-17
cyanorak:CK_00001734,core,17,Unknown,7,25,2.0,9.6,mixed,True,True,conserved hypothetical protein
cyanorak:CK_00046153,core,17,Unknown,7,21,17.0,7.8,mixed,True,False,conserved hypothetical protein
cyanorak:CK_00004021,core,14,Unknown,7,21,3.0,7.33,mixed,True,True,uncharacterized conserved membrane protein
cyanorak:CK_00000653,core,17,Unknown,7,19,4.0,6.8,mixed,True,False,conserved hypothetical protein
cyanorak:CK_00001157,core,17,Unknown,7,16,8.0,2.56,mixed,True,False,conserved hypothetical protein
cyanorak:CK_00001473,core,17,Unknown,7,14,14.0,6.64,mixed,True,False,conserved hypothetical protein
cyanorak:CK_00045754,broad,12,Unknown,6,35,3.0,10.81,mixed,True,True,conserved hypothetical protein
cyanorak:CK_00000840,core,17,Unknown,6,26,14.0,4.33,mixed,True,False,conserved hypothetical protein
cyanorak:CK_00001476,core,17,Unknown,6,25,6.0,4.12,mixed,True,False,conserved hypothetical protein
cyanorak:CK_00043005,core,14,Unknown,6,25,5.0,4.46,mixed,True,False,conserved hypothetical protein
cyanorak:CK_00041192,core,17,Unknown,6,24,3.0,6.58,mixed,True,True,conserved hypothetical protein
cyanorak:CK_00003473,core,17,Unknown,6,22,2.0,12.26,mixed,True,True,"uncharacterized secreted protein, Prochlorococcus-specific"
cyanorak:CK_00000679,core,17,Unknown,6,20,23.0,6.69,mixed,True,False,conserved hypothetical protein
cyanorak:CK_00047022,core,14,Unknown,6,20,33.0,7.23,mixed,True,False,conserved hypothetical protein
cyanorak:CK_00000284,core,17,Unknown,6,18,2.0,6.12,mixed,True,True,Conserved hypothetical protein
cyanorak:CK_00049482,core,17,Unknown,6,18,2.0,13.05,mixed,True,True,conserved hypothetical protein
cyanorak:CK_00001345,core,17,Unknown,6,18,8.0,13.27,mixed,True,True,uncharacterized conserved secreted protein
cyanorak:CK_00045976,core,14,Unknown,6,18,19.0,4.02,mixed,True,False,conserved hypothetical protein
cyanorak:CK_00005948,broad,13,Unknown,6,18,10.0,4.1,mixed,True,False,conserved hypothetical protein
