reference_class,substrate,carrier_family,tier,n_systems,experiment_label,omics,arm,timepoint,module_percentile,q
control-ABC,iron(III),ABC-subunit,multi-subunit,1,HOT1A3 d11,rnaseq,coculture,day 11,0.670382569039777,0.6968003199680032
control-ABC,nitrate/nitrite,ABC-subunit,multi-subunit,1,HOT1A3 d11,rnaseq,coculture,day 11,0.41525209019508486,0.8683681631836817
control-ABC,phosphate,ABC-subunit,multi-subunit,1,HOT1A3 d11,rnaseq,coculture,day 11,0.7651380795540917,0.5681003328238605
control-ABC,sodium,ABC-subunit,single-gene,1,HOT1A3 d11,rnaseq,coculture,day 11,0.5077273878895363,0.8679632036796321
control-ABC,iron complex,ABC-subunit,multi-subunit,3,HOT1A3 d11,rnaseq,coculture,day 11,0.5405371167975678,0.9357939206079392
control-ABC,ynjB ::,ABC-subunit,multi-subunit,1,HOT1A3 d11,rnaseq,coculture,day 11,0.42057258677476567,0.8683681631836817
control-ABC,molybdate,ABC-subunit,multi-subunit,1,HOT1A3 d11,rnaseq,coculture,day 11,0.40334431213579935,0.8683681631836817
control-ABC,PhnD/SsuA/transferrin family,ABC-subunit,single-gene,1,HOT1A3 d11,rnaseq,coculture,day 11,0.43349379275399036,0.8683681631836817
control-ABC,phosphonate,ABC-subunit,single-gene,1,HOT1A3 d11,rnaseq,coculture,day 11,0.04535089941727895,0.9672032796720328
control-ABC,trk/ktr system potassium,secondary-carrier-inorganic,single-gene,2,HOT1A3 d11,rnaseq,coculture,day 11,0.7866734228527996,0.8614215501526771
control-ABC,solute:Na+,SSS,single-gene,3,HOT1A3 d11,rnaseq,coculture,day 11,0.9630098809222194,0.5681003328238605
control-ABC,NRAMP family divalent metal,secondary-carrier-inorganic,single-gene,1,HOT1A3 d11,rnaseq,coculture,day 11,0.809982265011401,0.6344365563443657
control-ABC,serine/threonine,APC,single-gene,1,HOT1A3 d11,rnaseq,coculture,day 11,0.7932607043324044,0.6344365563443657
control-ABC,neurotransmitter:Na+,SSS,single-gene,2,HOT1A3 d11,rnaseq,coculture,day 11,0.7375221687357487,0.8679632036796321
control-ABC,bile acid:Na+,SSS,single-gene,1,HOT1A3 d11,rnaseq,coculture,day 11,0.1955915885482645,0.9357939206079392
control-ABC,Nramp family divalent metal,secondary-carrier-inorganic,single-gene,1,HOT1A3 d11,rnaseq,coculture,day 11,0.6399797314416013,0.8614215501526771
control-TonB,outer-membrane,other,single-gene,1,HOT1A3 d11,rnaseq,coculture,day 11,0.09931593615404104,0.9672032796720328
control-TonB,TonB-dependent,other,single-gene,12,HOT1A3 d11,rnaseq,coculture,day 11,1.0,0.0836916308369163
control-TonB,iron complex outermembrane recepter protein,other,single-gene,12,HOT1A3 d11,rnaseq,coculture,day 11,0.9946795034203192,0.5552444755524447
control-TonB,outer membrane,other,single-gene,1,HOT1A3 d11,rnaseq,coculture,day 11,0.03217633645806942,0.9672032796720328
ambiguous-TonB,TonB-dependent,enzyme;other,single-gene,17,HOT1A3 d11,rnaseq,coculture,day 11,0.9906257917405624,0.5681003328238605
ambiguous-TonB,periplasmic protein TonB,other,single-gene,4,HOT1A3 d11,rnaseq,coculture,day 11,0.8350646060298961,0.8679632036796321
ambiguous-TonB,outer membrane,exporter,single-gene,1,HOT1A3 d11,rnaseq,coculture,day 11,0.5900684063845959,0.8614215501526771
ambiguous-TonB,iron complex outermembrane recepter protein,other,single-gene,14,HOT1A3 d11,rnaseq,coculture,day 11,0.9997466430200151,0.0836916308369163
ambiguous-TonB,catecholate siderophore,other,single-gene,2,HOT1A3 d11,rnaseq,coculture,day 11,0.41373194831517607,0.9357939206079392
ambiguous-TonB,energy transducer TonB,other,single-gene,1,HOT1A3 d11,rnaseq,coculture,day 11,0.8634405877881935,0.5681003328238605
ambiguous-TonB,hemoglobin/transferrin/lactoferrin,other,single-gene,1,HOT1A3 d11,rnaseq,coculture,day 11,0.16696224980998225,0.9357939206079392
control-ABC,ynjB ::,ABC-subunit,multi-subunit,1,EZ55-400,rnaseq,coculture,EZ55-400,0.5966587112171837,0.7589241075892411
control-TonB,TonB-dependent,other,single-gene,3,EZ55-400,rnaseq,coculture,EZ55-400,0.8162291169451074,0.7589241075892411
control-TonB,iron complex outermembrane recepter protein,other,single-gene,1,EZ55-400,rnaseq,coculture,EZ55-400,0.9689737470167065,0.17748225177482252
ambiguous-TonB,TonB-dependent,enzyme;other,single-gene,2,EZ55-400,rnaseq,coculture,EZ55-400,0.4200477326968974,0.8263173682631738
ambiguous-TonB,iron complex outermembrane recepter protein,other,single-gene,1,EZ55-400,rnaseq,coculture,EZ55-400,0.3914081145584726,0.7589241075892411
control-ABC,ynjB ::,ABC-subunit,multi-subunit,1,EZ55-800,rnaseq,coculture,EZ55-800,0.16489361702127658,0.951104889511049
control-TonB,TonB-dependent,other,single-gene,2,EZ55-800,rnaseq,coculture,EZ55-800,0.48936170212765956,0.951104889511049
control-TonB,iron complex outermembrane recepter protein,other,single-gene,1,EZ55-800,rnaseq,coculture,EZ55-800,0.05319148936170213,0.951104889511049
ambiguous-TonB,iron complex outermembrane recepter protein,other,single-gene,1,EZ55-800,rnaseq,coculture,EZ55-800,1.0,0.028497150284971504
ambiguous-TonB,Fe(3+) dicitrate,gluconate/organic-acid,single-gene,1,EZ55-800,rnaseq,coculture,EZ55-800,0.9840425531914894,0.0504949505049495
control-ABC,iron(III),ABC-subunit,multi-subunit,1,co d18,rnaseq,coculture,day 18,0.07651380795540917,0.9824017598240176
control-ABC,nitrate/nitrite,ABC-subunit,multi-subunit,1,co d18,rnaseq,coculture,day 18,0.30808208766151507,0.9535238783813925
control-ABC,phosphate,ABC-subunit,multi-subunit,1,co d18,rnaseq,coculture,day 18,0.29718773752216876,0.9535238783813925
control-ABC,sodium,ABC-subunit,single-gene,1,co d18,rnaseq,coculture,day 18,0.5254623764884723,0.9211864527832931
control-ABC,iron complex,ABC-subunit,single-gene,3,co d18,rnaseq,coculture,day 18,0.8267038256903978,0.7970433725858184
control-ABC,ynjB ::,ABC-subunit,multi-subunit,1,co d18,rnaseq,coculture,day 18,0.7349885989359007,0.7473343574733436
control-ABC,molybdate,ABC-subunit,multi-subunit,1,co d18,rnaseq,coculture,day 18,0.6354193058018749,0.7473343574733436
control-ABC,PhnD/SsuA/transferrin family,ABC-subunit,single-gene,1,co d18,rnaseq,coculture,day 18,0.08386116037496832,0.9535238783813925
control-ABC,phosphonate,ABC-subunit,single-gene,1,co d18,rnaseq,coculture,day 18,0.36762097795794274,0.9535238783813925
control-ABC,trk/ktr system potassium,secondary-carrier-inorganic,single-gene,2,co d18,rnaseq,coculture,day 18,0.33139092982011653,0.9535238783813925
control-ABC,solute:Na+,SSS,single-gene,3,co d18,rnaseq,coculture,day 18,0.46237648847225743,0.9535238783813925
control-ABC,NRAMP family divalent metal,secondary-carrier-inorganic,single-gene,1,co d18,rnaseq,coculture,day 18,0.18343045350899417,0.9535238783813925
control-ABC,serine/threonine,APC,single-gene,1,co d18,rnaseq,coculture,day 18,0.9440081074233595,0.6033896610338966
control-ABC,neurotransmitter:Na+,SSS,single-gene,2,co d18,rnaseq,coculture,day 18,0.47048391183177096,0.9535238783813925
control-ABC,bile acid:Na+,SSS,single-gene,1,co d18,rnaseq,coculture,day 18,0.14669369141119837,0.9535238783813925
control-ABC,Nramp family divalent metal,secondary-carrier-inorganic,single-gene,1,co d18,rnaseq,coculture,day 18,0.7367620977957943,0.7473343574733436
control-TonB,outer-membrane,other,single-gene,1,co d18,rnaseq,coculture,day 18,0.7101596148973904,0.7473343574733436
control-TonB,TonB-dependent,other,single-gene,12,co d18,rnaseq,coculture,day 18,0.9939194324803649,0.6033896610338966
control-TonB,iron complex outermembrane recepter protein,other,single-gene,12,co d18,rnaseq,coculture,day 18,0.9921459336204712,0.6033896610338966
control-TonB,outer membrane,other,single-gene,1,co d18,rnaseq,coculture,day 18,0.9903724347605777,0.2753724627537246
ambiguous-TonB,TonB-dependent,enzyme;other,single-gene,17,co d18,rnaseq,coculture,day 18,0.9166455535850012,0.9535238783813925
ambiguous-TonB,periplasmic protein TonB,other,single-gene,4,co d18,rnaseq,coculture,day 18,0.9336204712439827,0.7473343574733436
ambiguous-TonB,outer membrane,exporter,single-gene,1,co d18,rnaseq,coculture,day 18,0.13301241449201925,0.9535238783813925
ambiguous-TonB,iron complex outermembrane recepter protein,other,single-gene,14,co d18,rnaseq,coculture,day 18,0.9792247276412465,0.7473343574733436
ambiguous-TonB,catecholate siderophore,other,single-gene,2,co d18,rnaseq,coculture,day 18,0.9113250570053205,0.7473343574733436
ambiguous-TonB,energy transducer TonB,other,single-gene,1,co d18,rnaseq,coculture,day 18,0.6235115277425893,0.7970433725858184
ambiguous-TonB,hemoglobin/transferrin/lactoferrin,other,single-gene,1,co d18,rnaseq,coculture,day 18,0.4856853306308589,0.9274472552744725
control-ABC,iron(III),ABC-subunit,multi-subunit,1,co d31,rnaseq,coculture,day 31,0.1816569546491006,0.9342065793420657
control-ABC,nitrate/nitrite,ABC-subunit,multi-subunit,1,co d31,rnaseq,coculture,day 31,0.8403851026095769,0.3428657134286571
control-ABC,phosphate,ABC-subunit,multi-subunit,1,co d31,rnaseq,coculture,day 31,0.4588294907524702,0.8251783517300444
control-ABC,sodium,ABC-subunit,single-gene,1,co d31,rnaseq,coculture,day 31,0.708132759057512,0.663008699130087
control-ABC,iron complex,ABC-subunit,single-gene,3,co d31,rnaseq,coculture,day 31,0.8206232581707626,0.7133072407045009
control-ABC,ynjB ::,ABC-subunit,multi-subunit,1,co d31,rnaseq,coculture,day 31,0.8776285786673423,0.3428657134286571
control-ABC,molybdate,ABC-subunit,multi-subunit,1,co d31,rnaseq,coculture,day 31,0.8155561185710666,0.3428657134286571
control-ABC,PhnD/SsuA/transferrin family,ABC-subunit,single-gene,1,co d31,rnaseq,coculture,day 31,0.33139092982011653,0.8251783517300444
control-ABC,phosphonate,ABC-subunit,single-gene,1,co d31,rnaseq,coculture,day 31,0.06561945781606283,0.9342065793420657
control-ABC,trk/ktr system potassium,secondary-carrier-inorganic,single-gene,2,co d31,rnaseq,coculture,day 31,0.5882949075247023,0.8251783517300444
control-ABC,solute:Na+,SSS,single-gene,3,co d31,rnaseq,coculture,day 31,0.665315429440081,0.8251783517300444
control-ABC,NRAMP family divalent metal,secondary-carrier-inorganic,single-gene,1,co d31,rnaseq,coculture,day 31,0.1940714466683557,0.8695290470952906
control-ABC,serine/threonine,APC,single-gene,1,co d31,rnaseq,coculture,day 31,0.7228274638966303,0.663008699130087
control-ABC,neurotransmitter:Na+,SSS,single-gene,2,co d31,rnaseq,coculture,day 31,0.6584747909804916,0.8251783517300444
control-ABC,bile acid:Na+,SSS,single-gene,1,co d31,rnaseq,coculture,day 31,0.3204965796807702,0.8251783517300444
control-ABC,Nramp family divalent metal,secondary-carrier-inorganic,single-gene,1,co d31,rnaseq,coculture,day 31,0.6544210793007348,0.7133072407045009
control-TonB,outer-membrane,other,single-gene,1,co d31,rnaseq,coculture,day 31,0.929566759564226,0.3428657134286571
control-TonB,TonB-dependent,other,single-gene,12,co d31,rnaseq,coculture,day 31,0.9888522928806689,0.4410683931606839
control-TonB,iron complex outermembrane recepter protein,other,single-gene,12,co d31,rnaseq,coculture,day 31,0.9941727894603496,0.3428657134286571
control-TonB,outer membrane,other,single-gene,1,co d31,rnaseq,coculture,day 31,0.9868254370407905,0.3428657134286571
ambiguous-TonB,TonB-dependent,enzyme;other,single-gene,17,co d31,rnaseq,coculture,day 31,0.9369141119837852,0.8251783517300444
ambiguous-TonB,periplasmic protein TonB,other,single-gene,4,co d31,rnaseq,coculture,day 31,0.9764378008614137,0.3428657134286571
ambiguous-TonB,outer membrane,exporter,single-gene,1,co d31,rnaseq,coculture,day 31,0.40587788193564733,0.8251783517300444
ambiguous-TonB,iron complex outermembrane recepter protein,other,single-gene,14,co d31,rnaseq,coculture,day 31,0.9298201165442108,0.8251783517300444
ambiguous-TonB,catecholate siderophore,other,single-gene,2,co d31,rnaseq,coculture,day 31,0.882949075247023,0.5904309569043096
ambiguous-TonB,energy transducer TonB,other,single-gene,1,co d31,rnaseq,coculture,day 31,0.8041550544717507,0.5904309569043096
ambiguous-TonB,hemoglobin/transferrin/lactoferrin,other,single-gene,1,co d31,rnaseq,coculture,day 31,0.23004813782619712,0.8654884511548845
control-ABC,iron(III),ABC-subunit,multi-subunit,1,co d60,rnaseq,coculture,day 60,0.22092728654674437,0.9039942159630191
control-ABC,nitrate/nitrite,ABC-subunit,multi-subunit,1,co d60,rnaseq,coculture,day 60,0.9972130732201672,0.0026997300269973002
control-ABC,phosphate,ABC-subunit,multi-subunit,1,co d60,rnaseq,coculture,day 60,0.640233088421586,0.7701593477015934
control-ABC,sodium,ABC-subunit,single-gene,1,co d60,rnaseq,coculture,day 60,0.5312895870281227,0.7974327567243276
control-ABC,iron complex,ABC-subunit,single-gene,3,co d60,rnaseq,coculture,day 60,0.777299214593362,0.7974327567243276
control-ABC,ynjB ::,ABC-subunit,multi-subunit,1,co d60,rnaseq,coculture,day 60,0.8966303521662021,0.260973902609739
control-ABC,molybdate,ABC-subunit,multi-subunit,1,co d60,rnaseq,coculture,day 60,0.4492019255130479,0.8471016534710164
control-ABC,PhnD/SsuA/transferrin family,ABC-subunit,single-gene,1,co d60,rnaseq,coculture,day 60,0.3744616164175323,0.8471016534710164
control-ABC,phosphonate,ABC-subunit,single-gene,1,co d60,rnaseq,coculture,day 60,0.07879402077527235,0.9238076192380762
control-ABC,trk/ktr system potassium,secondary-carrier-inorganic,single-gene,2,co d60,rnaseq,coculture,day 60,0.5262224474284266,0.8526451702655821
control-ABC,solute:Na+,SSS,single-gene,3,co d60,rnaseq,coculture,day 60,0.7494299467950342,0.8471016534710164
control-ABC,NRAMP family divalent metal,secondary-carrier-inorganic,single-gene,1,co d60,rnaseq,coculture,day 60,0.15252090195084875,0.9039942159630191
control-ABC,serine/threonine,APC,single-gene,1,co d60,rnaseq,coculture,day 60,0.6463136559412211,0.7962126864236653
control-ABC,neurotransmitter:Na+,SSS,single-gene,2,co d60,rnaseq,coculture,day 60,0.7542437294147454,0.7974327567243276
control-ABC,bile acid:Na+,SSS,single-gene,1,co d60,rnaseq,coculture,day 60,0.6237648847225741,0.7962126864236653
control-ABC,Nramp family divalent metal,secondary-carrier-inorganic,single-gene,1,co d60,rnaseq,coculture,day 60,0.7463896630352166,0.7701593477015934
control-TonB,outer-membrane,other,single-gene,1,co d60,rnaseq,coculture,day 60,0.9224727641246516,0.36536346365363465
