locus_tag,log2fc,expression_status,timepoint
ACZ81_RS21240,-11.065809246599526,significant_down,day 31
ACZ81_14325,7.881659730456786,significant_up,day 89
ACZ81_16915,-7.697406648130052,significant_down,day 31
ACZ81_14325,7.6873168618060435,significant_up,day 31
ACZ81_14325,7.647785002552335,significant_up,days 60+89
ACZ81_14325,7.365275695638774,significant_up,day 60
ACZ81_05680,7.099580576508896,significant_up,day 18
ACZ81_02025,-6.825841423786041,significant_down,day 31
ACZ81_04460,6.764265969781425,significant_up,day 31
ACZ81_16595,6.587431775891576,significant_up,day 60
ACZ81_05680,6.508632083135866,significant_up,day 31
ACZ81_16595,6.364408613196077,significant_up,days 60+89
ACZ81_05060,-6.256732193512743,significant_down,day 60
ACZ81_04465,6.232376555822262,significant_up,day 31
ACZ81_12890,6.147476780925157,significant_up,day 60
ACZ81_16595,6.10386118554679,significant_up,day 89
ACZ81_12890,5.9963766180234925,significant_up,day 31
ACZ81_16585,5.987016983209738,significant_up,day 60
ACZ81_16585,5.81912614800778,significant_up,days 60+89
ACZ81_05065,-5.773126360291273,significant_down,day 60
ACZ81_16595,5.7661249296759465,significant_up,day 31
ACZ81_12890,5.70778954222116,significant_up,days 60+89
ACZ81_07715,-5.662715347299915,significant_down,day 89
ACZ81_16585,5.63218560739921,significant_up,day 89
ACZ81_11420,-5.630486372691227,significant_down,day 89
ACZ81_07395,5.621429155673404,significant_up,day 60
ACZ81_07715,-5.547353126160817,significant_down,day 31
ACZ81_12900,5.518456273666017,significant_up,day 31
ACZ81_05680,5.49863766460202,significant_up,day 60
ACZ81_03035,-5.412148618692241,significant_down,day 60
ACZ81_01825,5.384504757584833,significant_up,day 60
ACZ81_03130,5.368225427474443,significant_up,day 60
ACZ81_16155,5.353604597337125,significant_up,day 89
ACZ81_05680,5.350836450882985,significant_up,days 60+89
ACZ81_07715,-5.332019569008291,significant_down,days 60+89
ACZ81_08480,5.321523991750659,significant_up,day 89
ACZ81_01825,5.315746515296258,significant_up,day 31
ACZ81_03035,-5.291440771255956,significant_down,days 60+89
ACZ81_07395,5.287847735390884,significant_up,days 60+89
ACZ81_05680,5.194237475800192,significant_up,day 89
ACZ81_16580,5.193365540102114,significant_up,day 89
ACZ81_03035,-5.180338024269124,significant_down,day 89
ACZ81_12900,5.129830405366764,significant_up,day 60
ACZ81_14025,-5.128109476303538,not_significant,day 31
ACZ81_12890,5.071424910556398,significant_up,day 89
ACZ81_08475,5.070222699432914,significant_up,day 89
ACZ81_07715,-5.060376505590036,significant_down,day 60
ACZ81_16580,5.057532306356998,significant_up,days 60+89
ACZ81_08485,5.032537108337708,significant_up,day 89
ACZ81_11420,-5.021441240453189,significant_down,days 60+89
ACZ81_03170,5.005890927421341,significant_up,day 89
