row_type,ontology,term_id,term_name,direction,substrate_module,match_type,breakdown_flag,evidence,median_up_pct,count_k,bg_count_M,gene_ratio,fold_enrichment,p_value,p_adjust,significant
genome_wide_enrichment,kegg,kegg.pathway:ko00230,Purine metabolism,up,,,,,,9,60,9/111,5.334,3.537e-05,0.005128,True
genome_wide_enrichment,kegg,kegg.pathway:ko01210,2-Oxocarboxylic acid metabolism,up,,,,,,7,39,7/111,6.382,8.414e-05,0.0061,True
genome_wide_enrichment,kegg,kegg.pathway:ko00640,Propanoate metabolism,up,,,,,,6,32,6/111,6.667,0.0002156,0.01042,True
genome_wide_enrichment,kegg,kegg.pathway:ko01120,Microbial metabolism in diverse environments,up,,,,,,14,214,14/111,2.326,0.002386,0.0865,False
genome_wide_enrichment,kegg,kegg.pathway:ko05132,Salmonella infection,down,,,,,,4,11,4/163,8.805,0.0007369,0.1069,False
genome_wide_enrichment,kegg,kegg.pathway:ko00330,Arginine and proline metabolism,up,,,,,,4,28,4/111,5.08,0.007205,0.1306,False
genome_wide_enrichment,kegg,kegg.pathway:ko00500,Starch and sucrose metabolism,up,,,,,,4,27,4/111,5.268,0.00631,0.1306,False
genome_wide_enrichment,kegg,kegg.pathway:ko00630,Glyoxylate and dicarboxylate metabolism,up,,,,,,5,42,5/111,4.233,0.005964,0.1306,False
genome_wide_enrichment,kegg,kegg.pathway:ko00785,Lipoic acid metabolism,up,,,,,,3,13,3/111,8.206,0.00504,0.1306,False
genome_wide_enrichment,kegg,kegg.pathway:ko01110,Biosynthesis of secondary metabolites,up,,,,,,17,336,17/111,1.799,0.01168,0.1882,False
genome_wide_enrichment,kegg,kegg.pathway:ko04621,NOD-like receptor signaling pathway,down,,,,,,3,8,3/163,9.081,0.003322,0.2409,False
genome_wide_enrichment,kegg,kegg.pathway:ko00920,Sulfur metabolism,up,,,,,,3,20,3/111,5.334,0.01741,0.2525,False
genome_wide_enrichment,kegg,kegg.pathway:ko01320,Sulfur cycle,up,,,,,,2,9,2/111,7.902,0.0248,0.3269,False
genome_wide_enrichment,kegg,kegg.pathway:ko00261,Monobactam biosynthesis,up,,,,,,2,11,2/111,6.465,0.03653,0.4074,False
genome_wide_enrichment,kegg,kegg.pathway:ko00450,Selenocompound metabolism,up,,,,,,2,11,2/111,6.465,0.03653,0.4074,False
genome_wide_enrichment,kegg,kegg.pathway:ko00460,Cyanoamino acid metabolism,up,,,,,,2,12,2/111,5.926,0.04304,0.4458,False
genome_wide_enrichment,kegg,kegg.pathway:ko00280,"Valine, leucine and isoleucine degradation",up,,,,,,3,32,3/111,3.334,0.0595,0.5751,False
