locus_tag,term_id,term_name,level,is_informative,ontology_type,signal_peptide_probability,signal_peptide_cleavage_site,signal_peptide_cleavage_probability,tree,tree_code,localization_score
PMM0872,cog.category:S,Function unknown,0,False,cog_category,,,,,,
PMM0872,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,False,cyanorak_role,,,,,,
PMM0872,signalp_SP,Signal peptide (Sec/SPI),0,True,signal_peptide_type,0.759655,19.0,0.4903,,,
PMM0872,tigr.role:156,Hypothetical proteins / Conserved,0,False,tigr_role,,,,,,
PMM0983,cog.category:S,Function unknown,0,False,cog_category,,,,,,
PMM0983,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,False,cyanorak_role,,,,,,
PMM0983,signalp_SP,Signal peptide (Sec/SPI),0,True,signal_peptide_type,0.999192,23.0,0.978,,,
PMM0983,tigr.role:156,Hypothetical proteins / Conserved,0,False,tigr_role,,,,,,
PMM1028,cog.category:S,Function unknown,0,False,cog_category,,,,,,
PMM1028,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,False,cyanorak_role,,,,,,
PMM1028,signalp_SP,Signal peptide (Sec/SPI),0,True,signal_peptide_type,0.998268,22.0,0.8946,,,
PMM1028,tigr.role:156,Hypothetical proteins / Conserved,0,False,tigr_role,,,,,,
PMM1436,cog.category:O,"Post-translational modification, protein turnover, chaperones",0,True,cog_category,,,,,,
PMM1436,cyanorak.role:D.1.9,Cellular processes > Adaptation/acclimation to atypical conditions and detoxification > Other,2,True,cyanorak_role,,,,,,
PMM1436,cyanorak.role:D.4,Cellular processes > Chaperones,1,True,cyanorak_role,,,,,,
PMM1436,cyanorak.role:L.3,Protein fate > Protein folding and stabilization,1,True,cyanorak_role,,,,,,
PMM1436,go:0005524,ATP binding,4,True,go_mf,,,,,,
PMM1436,go:0005737,cytoplasm,2,True,go_cc,,,,,,
PMM1436,go:0007049,cell cycle,2,True,go_bp,,,,,,
PMM1436,go:0009408,response to heat,3,True,go_bp,,,,,,
PMM1436,go:0016887,ATP hydrolysis activity,2,True,go_mf,,,,,,
PMM1436,go:0042026,protein refolding,3,True,go_bp,,,,,,
PMM1436,go:0051082,unfolded protein binding,3,True,go_mf,,,,,,
PMM1436,go:0051301,cell division,2,True,go_bp,,,,,,
PMM1436,go:0140662,ATP-dependent protein folding chaperone,2,True,go_mf,,,,,,
PMM1436,go:1990220,GroEL-GroES complex,4,True,go_cc,,,,,,
PMM1436,kegg.brite:ko01000.A5.B6.C1.D7,5.6.1.7  chaperonin ATPase,3,True,brite,,,,enzymes,ko01000,
PMM1436,kegg.brite:ko03110.A1.B5,HSP60 / Chaperonin,1,True,brite,,,,chaperones,ko03110,
PMM1436,kegg.orthology:K04077,"groEL, HSPD1, HSP60, CPN60; chaperonin GroEL [EC:5.6.1.7]",3,True,kegg,,,,,,
PMM1436,pfam:PF00118,TCP-1/cpn60 chaperonin family,1,True,pfam,,,,,,
PMM1436,psortb_Cytoplasmic,Cytoplasmic,0,True,subcellular_localization,,,,,,9.97
PMM1436,tigr.role:95,Protein fate / Protein folding and stabilization,0,True,tigr_role,,,,,,
PMM1683,cog.category:S,Function unknown,0,False,cog_category,,,,,,
PMM1683,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,False,cyanorak_role,,,,,,
PMM1683,tigr.role:156,Hypothetical proteins / Conserved,0,False,tigr_role,,,,,,
