group_ids,consensus_gene_name,consensus_product,gene_category,levels,sources,locus_CC9311,locus_WH8109,locus_WH8102,locus_BL107,locus_WH7803
cyanorak:CK_00001645,apcE,phycobilisome core-membrane linker polypeptide (Lcm),Photosynthesis,curated,cyanorak,sync_2321,Syncc8109_2277,SYNW0486,BL107_16740,SynWH7803_2025
cyanorak:CK_00001759;eggnog:1G6U1@1117;eggnog:1H0QE@1129;eggnog:316IX@2,cpeR,phycoerythrin operon regulator,Photosynthesis,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,SYNC_RS13690,Syncc8109_RS11510,SYNW2004,BL107_08981,SynWH7803_0497
cyanorak:CK_00001757;eggnog:1G3IJ@1117;eggnog:1GZGI@1129;eggnog:2Z7Z4@2,cpeU,putative phycoerythrobilin:phycoerythrin lyase CpeU,Photosynthesis,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_0492,Syncc8109_0442,SYNW2019,BL107_08896,SynWH7803_0483
cyanorak:CK_00000067;eggnog:1GEPK@1117;eggnog:1H13E@1129;eggnog:3412Q@2,hli,high light inducible protein,Stress response and adaptation,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_1851,Syncc8109_2642,TX72_RS12145,BL107_07124,SynWH7803_0797
cyanorak:CK_00001609;eggnog:1GNTT@1117;eggnog:1H1K6@1129;eggnog:323AY@2,hli,high light inducible protein,Stress response and adaptation,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_1818,Syncc8109_1185,SYNW1331,BL107_12520,SynWH7803_0823
cyanorak:CK_00001641,kaiA,circadian clock protein kaiA,Cellular processes,curated,cyanorak,sync_2222,Syncc8109_50026,SYNW0548,BL107_16390,SynWH7803_1966
cyanorak:CK_00007994;eggnog:1G5Z7@1117;eggnog:1GYRS@1129;eggnog:30NUX@2,mpeA,"C-phycoerythrin class II, alpha chain",Photosynthesis,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_0504,Syncc8109_0460,SYNW2009,BL107_08951,SynWH7803_0492
cyanorak:CK_00008005;eggnog:1GJRI@1117;eggnog:1GZ1G@1129;eggnog:31YMC@2,mpeB,"C-phycoerythrin class II, beta chain",Photosynthesis,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_0505,Syncc8109_0461,SYNW2008,BL107_08956,SynWH7803_0493
cyanorak:CK_00002548,unk11,conserved hypothetical protein,Unknown,curated,cyanorak,SYNC_RS14125,Syncc8109_50007,SYNW2014,BL107_08926,SynWH7803_2535
cyanorak:CK_00001758;eggnog:1GNDE@1117;eggnog:1H0SP@1129;eggnog:32V8V@2,unk12,conserved hypothetical protein,Unknown,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_0498,Syncc8109_RS11475,SYNW2015,BL107_08921,SynWH7803_0490
cyanorak:CK_00001762;eggnog:1GN32@1117;eggnog:1H09Z@1129;eggnog:32297@2,unk4,conserved hypothetical protein,Unknown,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_0518,Syncc8109_0473,SYNW1995,BL107_09026,SynWH7803_0507
cyanorak:CK_00001836;eggnog:1GNR8@1117;eggnog:1H1FE@1129;eggnog:30S4U@2,unk7,nif11-like leader peptide domain protein,Unknown,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,SYNC_RS02450,Syncc8109_0465,TX72_RS10080,BL107_08976,SynWH7803_0496
cyanorak:CK_00001835;eggnog:1GNKV@1117;eggnog:1H140@1129;eggnog:30SSR@2,unk9,conserved hypothetical protein,Unknown,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_0507,Syncc8109_0463,SYNW2006,BL107_08966,SynWH7803_0495
cyanorak:CK_00001545;eggnog:1GFTG@1117;eggnog:1H14V@1129;eggnog:2ZR77@2,,uncharacterized conserved membrane protein,Cell wall and membrane,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_0207,Syncc8109_0163,SYNW0158,BL107_05734,SynWH7803_0211
cyanorak:CK_00002054;eggnog:1GNYU@1117;eggnog:1H1XJ@1129;eggnog:303IA@2,,uncharacterized conserved membrane protein,Unknown,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_2934,Syncc8109_2754,SYNW2518,BL107_06694,SynWH7803_2525
cyanorak:CK_00001684;eggnog:1GE0X@1117;eggnog:1H0E2@1129;eggnog:33WJ0@2,,conserved hypothetical protein,Unknown,Bacteria;Cyanobacteria;Synechococcus;curated,cyanorak;eggnog,sync_2769,Syncc8109_2600,SYNW2361,BL107_07369,SynWH7803_2399
