organism_name,locus_tag,gene_name,product,function_description,kegg_ko_id,kegg_ko_name,tcdb_family,brite_leaf,sources
Alteromonas macleodii HOT1A3,ACZ81_00145,aroE,shikimate dehydrogenase,"Involved in the biosynthesis of the chorismate, which leads to the biosynthesis of aromatic amino acids. Catalyzes the reversible NADPH linked reduction of 3-dehydroshikimate (DHSA) to yield shikimate (SA)",K00014,aroE; shikimate dehydrogenase [EC:1.1.1.25],,,annotation
Alteromonas macleodii HOT1A3,ACZ81_03335,benE,benzoate/H(+) symporter BenE family transporter,protein involved in benzoate metabolism,K05782,benE; benzoate membrane transport protein,2.A.46.1,Electrochemical potential-driven transporters [TC:2],brite|kegg|tcdb|annotation
Alteromonas macleodii HOT1A3,ACZ81_05490,tyrR,transcriptional regulator TyrR,Transcriptional regulator of aromatic amino acids metabolism,K03721,"tyrR; transcriptional regulator of aroF, aroG, tyrA and aromatic amino acid transport",,,kegg
Alteromonas macleodii HOT1A3,ACZ81_06575,,TonB-dependent receptor,TonB dependent receptor,K16090,fiu; catecholate siderophore receptor,1.B.14.1.11,Pores ion channels [TC:1],brite|tcdb|annotation
Alteromonas macleodii HOT1A3,ACZ81_17980,,TonB-dependent receptor,TonB dependent receptor,K16090,fiu; catecholate siderophore receptor,1.B.14.1.11,Pores ion channels [TC:1],brite|tcdb|annotation
Alteromonas macleodii EZ55,EZ55_00050,aroE,shikimate dehydrogenase,"Involved in the biosynthesis of the chorismate, which leads to the biosynthesis of aromatic amino acids. Catalyzes the reversible NADPH linked reduction of 3-dehydroshikimate (DHSA) to yield shikimate (SA)",K00014,aroE; shikimate dehydrogenase [EC:1.1.1.25],,,annotation
Alteromonas macleodii EZ55,EZ55_00725,benE,benzoate/H(+) symporter BenE family transporter,protein involved in benzoate metabolism,K05782,benE; benzoate membrane transport protein,2.A.46.1,Electrochemical potential-driven transporters [TC:2],brite|kegg|tcdb|annotation
Alteromonas macleodii EZ55,EZ55_01137,tyrR,transcriptional regulator TyrR,Transcriptional regulator of aromatic amino acids metabolism,K03721,"tyrR; transcriptional regulator of aroF, aroG, tyrA and aromatic amino acid transport",,,kegg
Alteromonas macleodii EZ55,EZ55_01368,,TonB-dependent receptor,TonB dependent receptor,K16090,fiu; catecholate siderophore receptor,1.B.14.1.11,Pores ion channels [TC:1],brite|tcdb|annotation
Alteromonas macleodii EZ55,EZ55_03717,,TonB-dependent receptor,TonB dependent receptor,K16090,fiu; catecholate siderophore receptor,1.B.14.1.11,Pores ion channels [TC:1],brite|tcdb|annotation
Alteromonas macleodii EZ55,EZ55_04028,xylE,sugar porter family MFS transporter,Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family,K05548 ; K08138 ; K08139,"benK; MFS transporter, AAHS family, benzoate transport protein ; xylE; MFS transporter, SP family, xylose:H+ symportor ; HXT; MFS transporter, SP family, sugar:H+ symporter",2.A.1.1.3 ; 2.A.1.15,Sugar porter (SP) family [TC:2.A.1.1] ; Aromatic acid:H+ symporter (AAHS) family [TC:2.A.1.15],brite|kegg|tcdb|annotation
Alteromonas macleodii EZ55,EZ55_04287,,OmpP1/FadL family transporter,Membrane protein involved in aromatic hydrocarbon degradation,K06076,fadL; long-chain fatty acid transport protein,The FadL Outer Membrane Protein (FadL) Family,Pores ion channels [TC:1],brite|kegg|tcdb|annotation
